,uid,activity_mean,activity_var
0,u00,826.5757576,248703.123
1,u01,679.1147541,71643.87208
2,u02,503.880597,36449.44843
3,u03,109.1666667,15502.76852
4,u04,1211.586207,179356.2771
5,u05,356.4761905,51245.96372
6,u07,538.84,134810.1344
7,u08,640.6153846,48836.48284
8,u09,565.3939394,48506.08724
9,u10,391.0447761,18369.44576
10,u12,458.6268657,79896.89062
11,u13,348.9,62380.59
12,u14,707,287871.9077
13,u15,255.1176471,64363.16263
14,u16,405.90625,60775.36621
15,u17,313.1969697,45708.30969
16,u18,275.9322034,49075.89371
17,u19,315.1343284,31811.48942
18,u20,188.6666667,35065.51634
19,u22,450.5737705,76010.638
20,u23,195.0862069,25478.21671
21,u24,507.7878788,181092.7126
22,u25,510.3333333,223848.1389
23,u27,259.2238806,38872.29316
24,u30,706.6461538,416090.3517
25,u31,472.5606061,102832.2766
26,u32,703.0625,229808.1836
27,u33,432.4909091,70009.99537
28,u34,517.5102041,277844.1274
29,u35,367.0298507,123091.7902
30,u36,660.2985075,187231.6721
31,u39,32.68,2978.5376
32,u41,233.7818182,41457.62512
33,u42,255.4615385,53414.63314
34,u43,545.2,149298.6933
35,u44,170.0327869,14880.5563
36,u45,380.1914894,138504.8782
37,u46,1191.781818,171938.3524
38,u47,375.244898,229636.2666
39,u49,565.641791,151583.6627
40,u50,114.6046512,8214.983234
41,u51,740.7014925,172080.3885
42,u52,960.7727273,3195793.357
43,u53,205.1515152,30683.5225
44,u54,585.6666667,212957.9722
45,u56,526.779661,105926.3752
46,u57,952.2238806,118977.6364
47,u58,412.6666667,74590.22222
48,u59,3532.58209,4448794.004
