,student_id,activity_mean,activity_sum,rows,
0,u00,828.078125,54554,461991,
1,u01,669.8360656,41426,474862,
2,u02,503.0606061,33760,527518,
3,u03,111.2264151,5895,411402,
4,u04,1224.807018,70272,462516,
5,u05,356.4761905,22458,471647,
6,u07,547.8571429,26942,388016,
7,u08,640.6153846,41640,508723,
8,u09,564.1969697,37316,489438,
9,u10,396.969697,26200,531159,
10,u12,459.2727273,30728,525377,
11,u13,345.2333333,20934,438710,
12,u14,729.4444444,45955,451115,
13,u15,282.8043478,13011,245896,less
14,u16,406.9365079,25978,490749,
15,u17,312.8939394,20671,526248,
16,u18,279.9827586,16280,443776,
17,u19,313,21114,525619,
18,u20,200.375,9622,354198,
19,u22,448.3606557,27485,439498,
20,u23,197.1052632,11315,468330,
21,u24,540.5483871,16757,249841,less
22,u25,529.4347826,24496,237758,less
23,u27,261.7692308,17368,509670,
24,u30,724.5396825,45932,494845,
25,u31,486.3125,31189,496697,
26,u32,717.1290323,44996,472947,
27,u33,447.9811321,23787,423140,
28,u34,527.8085106,25358,362581,
29,u35,367.9393939,24591,536077,
30,u36,656.1212121,44240,521156,
31,u39,34.56521739,817,163835,less !!!
32,u41,247.2692308,12858,348903,
33,u42,253.6862745,13284,361829,
34,u43,561.2586207,32712,400298,
35,u44,171.55,10372,471864,
36,u45,349.75,17869,406876,
37,u46,1210.777778,65548,430927,
38,u47,348.627451,18387,397781,
39,u49,567.1692308,37898,612741,more
40,u50,124.3589744,4928,285386,less
41,u51,745.5757576,49627,537914,
42,u52,968.4153846,63411,241461,
43,u53,208.3076923,13540,477052,
44,u54,609.4347826,28112,331358,
45,u56,533.7719298,31080,469698,
46,u57,958.6212121,63799,511646,
47,u58,403.4444444,25998,505755,
48,u59,3429.060606,236683,1945367,more !!!
