,uid,activity_mean,activity_sum,activity_avg,rows,day
0,u00,831.9692307692308,54554,839.2923076923076,461991,65
1,u01,683.6666666666666,41426,690.4333333333333,474862,60
2,u02,506.8181818181818,33760,511.5151515151515,527518,66
3,u03,111.22641509433963,5895,111.22641509433963,411402,53
4,u04,1226.280701754386,70272,1232.842105263158,462516,57
5,u05,357.7903225806452,22458,362.2258064516129,471647,62
6,u07,548.9387755102041,26942,549.8367346938776,388016,49
7,u08,650.625,41640,650.625,508723,64
8,u09,570.6307692307693,37316,574.0923076923077,489438,65
9,u10,396.969696969697,26200,396.969696969697,531159,66
10,u12,463.0151515151515,30728,465.57575757575756,525377,66
11,u13,351.52542372881356,20934,354.8135593220339,438710,59
12,u14,718.046875,45955,718.046875,451115,64
13,u15,260.18,13011,260.22,245896,50
14,u16,410.3968253968254,25978,412.3492063492063,490749,63
15,u17,317.7076923076923,20671,318.0153846153846,526248,65
16,u18,280.6896551724138,16280,280.6896551724138,443776,58
17,u19,315.25757575757575,21114,319.90909090909093,525619,66
18,u20,192.36,9622,192.44,354198,50
19,u22,456.31666666666666,27485,458.0833333333333,439498,60
20,u23,194.2280701754386,11315,198.50877192982455,468330,57
21,u24,523.65625,16757,523.65625,249841,32
22,u25,518.1702127659574,24496,521.1914893617021,237758,47
23,u27,257.8030303030303,17368,263.1515151515151,509670,66
24,u30,714.5,45932,717.6875,494845,64
25,u31,478.83076923076925,31189,479.83076923076925,496697,65
26,u32,708.5873015873016,44996,714.2222222222222,472947,63
27,u33,439.68518518518516,23787,440.5,423140,54
28,u34,518.2708333333334,25358,528.2916666666666,362581,48
29,u35,368.8333333333333,24591,372.59090909090907,536077,66
30,u36,659.7727272727273,44240,670.3030303030303,521156,66
31,u39,34.041666666666664,817,34.041666666666664,163835,24
32,u41,238.05555555555554,12858,238.11111111111111,348903,54
33,u42,257.8235294117647,13284,260.47058823529414,361829,51
34,u43,547.9322033898305,32712,554.4406779661017,400298,59
35,u44,172.86666666666667,10372,172.86666666666667,471864,60
36,u45,374.10869565217394,17869,388.45652173913044,406876,46
37,u46,1213.851851851852,65548,1213.851851851852,430927,54
38,u47,368.2708333333333,18387,383.0625,397781,48
39,u49,565.9090909090909,37898,574.2121212121212,612741,66
40,u50,115.47619047619048,4928,117.33333333333333,285386,42
41,u51,749.4242424242424,49627,751.9242424242424,537914,66
42,u52,968.4153846153846,63411,975.5538461538462,241461,65
43,u53,208.30769230769232,13540,208.30769230769232,477052,65
44,u54,598.1276595744681,28112,598.1276595744681,331358,47
45,u56,529.5689655172414,31080,535.8620689655172,469698,58
46,u57,964.2424242424242,63799,966.6515151515151,511646,66
47,u58,415.741935483871,25998,419.3225806451613,505755,62
48,u59,3476.6969696969695,236683,3586.1060606060605,1945367,66
