,uid,activity_mean,activity_sum,activity_avg,activity_var,rows,day,length
0,u00,826.5757575757576,54554,826.5757575757576,248703.1230486685,461991,66,66
1,u01,679.1147540983607,41426,679.1147540983607,71643.87207739857,474862,61,61
2,u02,503.8805970149254,33760,503.8805970149254,36449.448429494325,527518,67,67
3,u03,109.16666666666667,5895,109.16666666666667,15502.768518518516,411402,54,54
4,u04,1211.5862068965516,70272,1211.5862068965516,179356.27705112964,462516,58,58
5,u05,356.4761904761905,22458,356.4761904761905,51245.963718820865,471647,63,63
6,u07,538.84,26942,538.84,134810.13439999998,388016,50,50
7,u08,640.6153846153846,41640,640.6153846153846,48836.482840236684,508723,65,65
8,u09,565.3939393939394,37316,565.3939393939394,48506.08723599633,489438,66,66
9,u10,391.04477611940297,26200,391.04477611940297,18369.445756293164,531159,67,67
10,u12,458.6268656716418,30728,458.6268656716418,79896.89062151927,525377,67,67
11,u13,348.9,20934,348.9,62380.590000000004,438710,60,60
12,u14,707.0,45955,707.0,287871.90769230766,451115,65,65
13,u15,255.11764705882354,13011,255.11764705882354,64363.16262975778,245896,51,51
14,u16,405.90625,25978,405.90625,60775.3662109375,490749,64,64
15,u17,313.1969696969697,20671,313.1969696969697,45708.30968778696,526248,66,66
16,u18,275.93220338983053,16280,275.93220338983053,49075.893708704396,443776,59,59
17,u19,315.13432835820896,21114,315.13432835820896,31811.489418578753,525619,67,67
18,u20,188.66666666666666,9622,188.66666666666666,35065.51633986928,354198,51,51
19,u22,450.57377049180326,27485,450.57377049180326,76010.63800053747,439498,61,61
20,u23,195.08620689655172,11315,195.08620689655172,25478.216706302017,468330,58,58
21,u24,507.7878787878788,16757,507.7878787878788,181092.71258034895,249841,33,33
22,u25,510.3333333333333,24496,510.3333333333333,223848.1388888889,237758,48,48
23,u27,259.2238805970149,17368,259.2238805970149,38872.29316106037,509670,67,67
24,u30,706.6461538461539,45932,706.6461538461539,416090.3517159764,494845,65,65
25,u31,472.56060606060606,31189,472.56060606060606,102832.27662993573,496697,66,66
26,u32,703.0625,44996,703.0625,229808.18359375,472947,64,64
27,u33,432.4909090909091,23787,432.4909090909091,70009.99537190082,423140,55,55
28,u34,517.5102040816327,25358,517.5102040816327,277844.1274468971,362581,49,49
29,u35,367.02985074626866,24591,367.02985074626866,123091.79015370908,536077,67,67
30,u36,660.2985074626865,44240,660.2985074626865,187231.67208732455,521156,67,67
31,u39,32.68,817,32.68,2978.5375999999997,163835,25,25
32,u41,233.78181818181818,12858,233.78181818181818,41457.625123966944,348903,55,55
33,u42,255.46153846153845,13284,255.46153846153845,53414.633136094664,361829,52,52
34,u43,545.2,32712,545.2,149298.6933333333,400298,60,60
35,u44,170.0327868852459,10372,170.0327868852459,14880.556302069335,471864,61,61
36,u45,380.1914893617021,17869,380.1914893617021,138504.8782254414,406876,47,47
37,u46,1191.7818181818182,65548,1191.7818181818182,171938.35239669424,430927,55,55
38,u47,375.2448979591837,18387,375.2448979591837,229636.26655560185,397781,49,49
39,u49,565.6417910447761,37898,565.6417910447761,151583.6627311205,612741,67,67
40,u50,114.6046511627907,4928,114.6046511627907,8214.983234180638,285386,43,43
41,u51,740.7014925373135,49627,740.7014925373135,172080.38850523502,537914,67,67
42,u52,960.7727272727273,63411,960.7727272727273,3195793.357438017,241461,66,66
43,u53,205.15151515151516,13540,205.15151515151516,30683.522497704314,477052,66,66
44,u54,585.6666666666666,28112,585.6666666666666,212957.97222222225,331358,48,48
45,u56,526.7796610169491,31080,526.7796610169491,105926.37517954613,469698,59,59
46,u57,952.223880597015,63799,952.223880597015,118977.63644464244,511646,67,67
47,u58,412.6666666666667,25998,412.6666666666667,74590.22222222222,505755,63,63
48,u59,3532.582089552239,236683,3532.582089552239,4448794.004455335,1945367,67,67
