,uid,audio_mean,audio_var
0,u00,32234.16667,151580760.5
1,u01,34519.85246,301552287.8
2,u02,23871.16418,202395151.3
3,u03,4866.37037,14870280.94
4,u04,40499.18966,83962899.15
5,u05,22211.50794,108801587.3
6,u07,22097.96,405879568.7
7,u08,28219.41538,93538477.07
8,u09,29334.5303,109010302.2
9,u10,22129.10448,63267575.32
10,u12,22395,74076346
11,u13,15697.98333,65793027.02
12,u14,35619.86154,328989450.4
13,u15,17632.86275,169655762.1
14,u16,17418.75,100235974.8
15,u17,16855.07576,59600913.28
16,u18,15719.32203,134187267
17,u19,18073.37313,145704374.2
18,u20,12600.31373,88207566.14
19,u22,16248.70492,212192102.3
20,u23,15970.60345,45560368.24
21,u24,28117.54545,237560952.7
22,u25,23225.27083,128841381.1
23,u27,18310.13433,106831421.7
24,u30,40621.10769,331129830.1
25,u31,22497.36364,107377726.6
26,u32,30220.67188,367208849.3
27,u33,24627.56364,208484013.4
28,u34,18411.28571,143931475.9
29,u35,14091.19403,82187542.16
30,u36,15893.22388,165103944.6
31,u39,3889.64,12598756.87
32,u41,17636.4,135846530.2
33,u42,14032.94231,106173709.2
34,u43,20478.55,150614592.1
35,u44,11826.34426,32800925.83
36,u45,20015.21277,118563676
37,u46,36454.09091,180784611.8
38,u47,13061.14286,75287152.04
39,u49,24067.77612,294636793.3
40,u50,8088.186047,21737394.99
41,u51,17721.62687,106527512.3
42,u52,10533.18182,422676334.8
43,u53,16908.27273,101729353.8
44,u54,20171.64583,251258123.7
45,u56,19561.84746,82316770.03
46,u57,35085.10448,122626836.4
47,u58,25287.04762,274045383.5
48,u59,15298.3283582089,46226763.7168077
