,student_id,audio_mean,audio_sum,audio_avg,day,rows
0,u00,32594.40625,2127455,33241.484375,64,2549558
1,u01,34068.91803278688,2105711,34519.852459016394,61,2608482
2,u02,23547.227272727272,1599368,24232.848484848484,66,2444394
3,u03,4954.0,262784,4958.188679245283,53,1311046
4,u04,40839.98245614035,2348953,41209.70175438596,57,2456731
5,u05,22181.761904761905,1399325,22211.507936507936,63,2133762
6,u07,22369.979591836734,1104898,22548.938775510203,49,1703556
7,u08,28218.89230769231,1834262,28219.415384615386,65,2592612
8,u09,29299.121212121212,1936079,29334.530303030304,66,2692898
9,u10,22421.303030303032,1482650,22464.39393939394,66,2353795
10,u12,22429.954545454544,1500465,22734.31818181818,66,2450754
11,u13,15432.366666666667,941879,15697.983333333334,60,1847551
12,u14,36573.206349206346,2315291,36750.65079365079,63,2527123
13,u15,19548.91304347826,899276,19549.478260869564,46,1284340
14,u16,17368.396825396827,1114800,17695.238095238095,63,2139457
15,u17,16642.878787878788,1112435,16855.075757575756,66,2108799
16,u18,15938.327586206897,927440,15990.344827586207,58,1849457
17,u19,17958.136363636364,1210916,18347.21212121212,66,2285901
18,u20,13331.229166666666,642616,13387.833333333334,48,1333354
19,u22,15827.245901639344,991171,16248.704918032787,61,1685618
20,u23,16162.21052631579,926295,16250.78947368421,57,1762462
21,u24,29931.58064516129,927879,29931.58064516129,31,1297697
22,u25,23918.717391304348,1114813,24235.065217391304,46,1427765
23,u27,18605.66153846154,1226779,18873.523076923077,65,2182966
24,u30,41295.09523809524,2640372,41910.666666666664,63,2862099
25,u31,23082.4375,1484826,23200.40625,64,2405307
26,u32,31195.532258064515,1934123,31195.532258064515,62,2504145
27,u33,25398.811320754718,1354516,25556.905660377357,53,1911751
28,u34,18593.617021276597,902153,19194.744680851065,47,1362585
29,u35,14116.060606060606,944110,14304.69696969697,66,2034613
30,u36,15877.560606060606,1064846,16134.030303030304,66,2053949
31,u39,4097.739130434783,97241,4227.869565217391,23,528230
32,u41,18522.173076923078,970002,18653.884615384617,52,1582626
33,u42,13907.921568627451,729713,14308.098039215687,51,1523732
34,u43,21056.08620689655,1228713,21184.706896551725,58,1917114
35,u44,11951.466666666667,721407,12023.45,60,1773907
36,u45,19159.291666666668,940715,19598.229166666668,48,1440611
37,u46,37110.01851851852,2004975,37129.166666666664,54,2369139
38,u47,12415.372549019608,639996,12548.941176470587,51,1164124
39,u49,24149.66153846154,1612541,24808.323076923076,65,2606739
40,u50,8434.948717948719,347792,8917.74358974359,39,1092076
41,u51,17752.454545454544,1187349,17990.136363636364,66,2155124
42,u52,10644.507692307692,695190,10695.23076923077,65,1712028
43,u53,17160.03076923077,1115946,17168.4,65,2114807
44,u54,21008.369565217392,968239,21048.67391304348,46,1698497
45,u56,19683.052631578947,1154149,20248.22807017544,57,1812875
46,u57,35374.40909090909,2350702,35616.69696969697,66,2642731
47,u58,24547.47619047619,1593084,25287.04761904762,63,2315206
48,u59,60790.818181818184,4099952,62120.48484848485,66,4684130
