,uid,audio_mean,audio_sum,audio_avg,day,rows
0,u00,32397.646153846155,2127455,32730.076923076922,65,2549558
1,u01,34710.95,2105711,35095.183333333334,60,2608482
2,u02,23826.18181818182,1599368,24232.848484848484,66,2444394
3,u03,4956.188679245283,262784,4958.188679245283,53,1311046
4,u04,40968.070175438595,2348953,41209.70175438596,57,2456731
5,u05,22047.354838709678,1399325,22569.75806451613,62,2133762
6,u07,22426.61224489796,1104898,22548.938775510203,49,1703556
7,u08,28659.8125,1834262,28660.34375,64,2592612
8,u09,29549.246153846154,1936079,29785.830769230768,65,2692898
9,u10,22460.666666666668,1482650,22464.39393939394,66,2353795
10,u12,22607.469696969696,1500465,22734.31818181818,66,2450754
11,u13,15733.474576271186,941879,15964.050847457627,59,1847551
12,u14,36170.4375,2315291,36176.421875,64,2527123
13,u15,17985.0,899276,17985.52,50,1284340
14,u16,17368.396825396827,1114800,17695.238095238095,63,2139457
15,u17,16983.492307692308,1112435,17114.384615384617,65,2108799
16,u18,15990.086206896553,927440,15990.344827586207,58,1849457
17,u19,18069.484848484848,1210916,18347.21212121212,66,2285901
18,u20,12840.18,642616,12852.32,50,1333354
19,u22,16248.483333333334,991171,16519.516666666666,60,1685618
20,u23,15995.070175438597,926295,16250.78947368421,57,1762462
21,u24,28996.21875,927879,28996.21875,32,1297697
22,u25,23409.808510638297,1114813,23719.425531914894,47,1427765
23,u27,18325.121212121212,1226779,18587.560606060608,66,2182966
24,u30,40977.96875,2640372,41255.8125,64,2862099
25,u31,22772.676923076924,1484826,22843.476923076923,65,2405307
26,u32,30700.365079365078,1934123,30700.365079365078,63,2504145
27,u33,24928.462962962964,1354516,25083.62962962963,54,1911751
28,u34,18280.083333333332,902153,18794.854166666668,48,1362585
29,u35,14137.39393939394,944110,14304.69696969697,66,2034613
30,u36,15949.636363636364,1064846,16134.030303030304,66,2053949
31,u39,4027.5,97241,4051.7083333333335,24,528230
32,u41,17614.037037037036,970002,17963.0,54,1582626
33,u42,14056.078431372549,729713,14308.098039215687,51,1523732
34,u43,20177.389830508473,1228713,20825.64406779661,59,1917114
35,u44,12021.85,721407,12023.45,60,1773907
36,u45,20096.565217391304,940715,20450.32608695652,46,1440611
37,u46,37121.59259259259,2004975,37129.166666666664,54,2369139
38,u47,13035.916666666666,639996,13333.25,48,1164124
39,u49,24024.060606060608,1612541,24432.439393939392,66,2606739
40,u50,7930.261904761905,347792,8280.761904761905,42,1092076
41,u51,17820.272727272728,1187349,17990.136363636364,66,2155124
42,u52,10644.76923076923,695190,10695.23076923077,65,1712028
43,u53,17167.43076923077,1115946,17168.4,65,2114807
44,u54,20596.08510638298,968239,20600.82978723404,47,1698497
45,u56,19566.103448275862,1154149,19899.120689655174,58,1812875
46,u57,35544.106060606064,2350702,35616.69696969697,66,2642731
47,u58,25194.645161290322,1593084,25694.90322580645,62,2315206
48,u59,61205.106060606064,4099952,62120.48484848485,66,4684130
