,uid,bluetooth_sum,bluetooth_var,bluetooth_mean,bluetooth_day_num
0,u00,2541,493.8578024007387,44.578947368421055,57
1,u01,1009,226.03385657125267,17.70175438596491,57
2,u02,3526,608.6685032139578,53.42424242424242,66
3,u03,518,118.62224866151102,12.634146341463415,41
4,u04,2809,592.7633117882425,49.280701754385966,57
5,u05,3867,1706.9752861602494,62.37096774193548,62
6,u07,1316,376.57142857142856,26.857142857142858,49
7,u08,3876,1331.3630744423542,63.540983606557376,61
8,u09,2546,820.7134363852556,43.89655172413793,58
9,u10,5009,759.9432966023875,75.89393939393939,66
10,u12,1939,488.932277318641,29.37878787878788,66
11,u13,3142,1007.9184142487792,53.25423728813559,59
12,u14,3561,817.3478885377764,60.355932203389834,59
13,u15,1720,1040.1324448146606,35.10204081632653,49
14,u16,2461,558.9847744900891,41.71186440677966,59
15,u17,2467,738.5144872763922,39.15873015873016,63
16,u18,1552,788.0929705215419,36.95238095238095,42
17,u19,3405,893.4538567493113,51.59090909090909,66
18,u20,965,313.52326028450597,18.92156862745098,51
19,u22,1238,277.23852040816325,22.107142857142858,56
20,u23,1181,308.0264696829794,20.719298245614034,57
21,u24,1045,284.0380859375,32.65625,32
22,u25,1371,647.0428719008264,31.15909090909091,44
23,u27,2213,1174.525146484375,34.578125,64
24,u30,4827,2553.4254232733138,79.1311475409836,61
25,u31,1859,455.57818181818186,33.8,55
26,u32,2937,1442.1440443213296,51.526315789473685,57
27,u33,879,201.71555555555557,19.533333333333335,45
28,u34,992,208.85559762033535,23.069767441860463,43
29,u35,1202,174.80348943985308,18.21212121212121,66
30,u36,2310,438.8043704474506,37.25806451612903,62
31,u39,139,26.671487603305785,6.318181818181818,22
32,u41,1991,1357.6683813443071,36.870370370370374,54
33,u42,1330,371.75855440215304,26.07843137254902,51
34,u43,1955,548.8759618344106,34.29824561403509,57
35,u44,1835,358.24039780521264,33.98148148148148,54
36,u45,1232,355.45454545454544,28.0,44
37,u46,3264,1309.8395061728397,60.44444444444444,54
38,u47,1464,357.65866908103214,31.148936170212767,47
39,u49,3052,7724.75,54.5,56
40,u50,1323,246.41937500000003,33.075,40
41,u51,2433,490.640380859375,38.015625,64
42,u52,2367,1294.6736094674554,36.41538461538462,65
43,u53,2093,627.6061538461539,32.2,65
44,u54,2219,1511.8055555555554,52.833333333333336,42
45,u56,867,51.62877211238293,13.983870967741936,62
46,u57,3261,869.4841597796143,49.40909090909091,66
47,u58,1426,313.8508440413203,22.634920634920636,63
48,u59,1884,336.04370447450566,30.387096774193548,62
