,uid,conversation_sum,conversation_var,conversation_mean,conversation_day_num
0,u00,1498426,82216219.39746094,23412.90625,64
1,u01,1610021,144292403.40051773,30961.94230769231,52
2,u02,1167913,100411174.78206097,18538.301587301587,63
3,u03,211184,20977341.167117357,4911.2558139534885,43
4,u04,1444107,35609093.429362886,25335.21052631579,57
5,u05,1037560,81171567.3610822,16734.83870967742,62
6,u07,781019,177425210.59707952,18163.232558139534,43
7,u08,1448641,54192225.35348954,22994.301587301587,63
8,u09,1667009,117259698.35651974,25257.71212121212,66
9,u10,1132074,67420255.6556474,17152.636363636364,66
10,u12,1221233,62391816.18847567,18503.530303030304,66
11,u13,764515,44777790.85033036,12957.881355932202,59
12,u14,1524034,133588793.15847822,24191.015873015873,63
13,u15,716349,109469621.98222221,15918.866666666667,45
14,u16,965253,78807060.61495845,16934.263157894737,57
15,u17,812890,36939967.6,12506.0,65
16,u18,737571,94620793.84039256,16762.977272727272,44
17,u19,947974,102120685.06302021,16344.379310344828,58
18,u20,456641,44842223.68706598,9513.354166666666,48
19,u22,623652,110224073.77184246,13269.191489361701,47
20,u23,588038,31758647.19544475,10316.456140350878,57
21,u24,749961,132390626.67666668,24998.7,30
22,u25,913166,147866295.8109641,19851.434782608696,46
23,u27,948634,49738319.13731419,15057.682539682539,63
24,u30,1811268,130620697.4421769,28750.285714285714,63
25,u31,1163145,98436911.22083333,19385.75,60
26,u32,1592357,128111133.46975207,28951.945454545454,55
27,u33,919201,103320634.52210689,18023.549019607843,51
28,u34,661351,87691004.01168738,17874.35135135135,37
29,u35,728342,76060994.1508845,11747.451612903225,62
30,u36,770262,70682725.37336504,13280.379310344828,58
31,u39,104853,12476779.4275,5242.65,20
32,u41,767199,109009234.84890425,15043.117647058823,51
33,u42,642689,82899171.24535123,14606.568181818182,44
34,u43,1001277,101613449.05070153,17879.946428571428,56
35,u44,615576,37760775.780612245,10992.42857142857,56
36,u45,751427,89181974.71124764,16335.369565217392,46
37,u46,1393035,90030415.23673904,26283.67924528302,53
38,u47,332312,38846231.780896336,7070.468085106383,47
39,u49,807372,179067292.04639998,16147.44,50
40,u50,349453,23936067.35042735,8960.333333333334,39
41,u51,816795,53825672.190476194,12965.0,63
42,u52,307832,18010495.740894902,4965.032258064516,62
43,u53,1006194,86174103.77777778,15971.333333333334,63
44,u54,756235,125301820.87948962,16439.891304347828,46
45,u56,693352,46544443.16836735,12381.285714285714,56
46,u57,1379955,66275657.20946745,21230.076923076922,65
47,u58,1075162,117985083.80917159,20676.19230769231,52
48,u59,1516125,133640041.05991736,22971.590909090908,66
