,uid,dark_sum,dark_var,dark_mean,dark_day_num
0,u00,1248810,344591748.40473,5626.55737704918,61
1,u01,1796748,607622465.9187443,8388.855263157895,57
2,u02,1145876,306296825.0156086,5128.939516129032,62
3,u03,458595,358539899.6147443,4461.698275862069,29
4,u04,2548741,342639656.106824,11886.38392857143,56
5,u05,1380163,425264703.2747106,6781.677272727273,55
6,u07,1353434,501881887.35536444,7706.989361702128,47
7,u08,1365714,223063158.5079365,5927.873015873016,63
8,u09,1503845,497665195.7317926,6671.737704918033,61
9,u10,1635253,440669611.017334,6896.20703125,64
10,u12,2357658,461805430.6887052,9439.060606060606,66
11,u13,817187,364687668.530816,4764.661458333333,48
12,u14,1275334,359140389.62607515,7291.723404255319,47
13,u15,363854,281782628.3667296,4462.79347826087,23
14,u16,1120268,370356253.4565976,5099.631147540984,61
15,u17,2040200,422753031.3018006,8869.934426229509,61
16,u18,890007,386913668.2821361,5345.586956521739,46
17,u19,1739815,348268141.1975274,7638.799180327869,61
18,u20,711619,609038966.6992716,6247.032258064516,31
19,u22,1584522,635217800.1914389,7338.431034482759,58
20,u23,1775206,346634504.4471879,8726.560185185184,54
21,u24,477818,287321188.9948979,4774.267857142857,28
22,u25,522664,174854450.19135806,4138.020833333333,36
23,u27,1401274,271087230.61222225,6347.075,60
24,u30,1664791,451916323.1947107,8075.486363636363,55
25,u31,1239702,262500835.22060353,5507.229838709677,62
26,u32,1489031,504861005.5153718,7276.913636363636,55
27,u33,1450539,430044368.3650148,7481.6875,52
28,u34,269836,146747904.59763315,3102.4326923076924,26
29,u35,171172,203318878.57483926,1804.6515151515152,33
30,u36,1826544,318407020.8501561,7873.616935483871,62
31,u39,45153,326206945.43999994,2765.55,5
32,u41,432780,239146554.484375,3889.3125,32
33,u42,763477,422090601.38495255,5666.155405405405,37
34,u43,1041639,342569822.0711112,6295.1,45
35,u44,556481,313951968.4997026,3901.2073170731705,41
36,u45,487378,286130461.0844233,4709.474137931034,29
37,u46,966038,221094765.18786988,5152.221153846154,52
38,u47,217458,171509161.55555555,2522.3888888888887,27
39,u49,453238,150916009.65432099,6804.791666666667,18
40,u50,520918,357779984.19204396,5331.555555555556,27
41,u51,1475413,312561490.95137316,6363.3452380952385,63
42,u52,1435710,269831318.9024944,6205.68253968254,63
43,u53,1018541,548626174.3224826,5813.052083333333,48
44,u54,1070619,246752325.1139456,6880.708333333333,42
45,u56,742765,386211003.2040289,4728.875,44
46,u57,1742424,289080668.1571598,7210.111538461539,65
47,u58,1403071,397320089.48305553,6354.454166666666,60
48,u59,1125292,230745468.17689905,5045.991935483871,62
