uid,in_time(second),near_time(second),in/all rate
u00,4568258,1085019,0.8080725568550772
u01,4079077,1399765,0.7445144430155132
u02,5405496,294698,0.9483003560931434
u03,4855821,49259,0.9899575542091057
u04,4390038,563269,0.8862842541356714
u05,5133878,347854,0.9365430488028237
u07,3806159,419336,0.9007605026156699
u08,5256376,213330,0.9609979037264526
u09,5268970,390254,0.9310410755962302
u10,5550004,151785,0.9733794077613184
u12,5452726,178539,0.9682950456069818
u13,5072224,281403,0.9474369432162532
u14,5106072,477731,0.9144434357730744
u15,5097525,556286,0.9016086671450461
u16,5260954,208199,0.9619321309899357
u17,5521967,179455,0.9685245189708813
u18,5369963,128645,0.9766040787050104
u19,5483874,217990,0.9617686426754479
u20,4693841,86318,0.9819424416635514
u22,5593392,108510,0.9809695080694126
u23,4862097,58519,0.9881073833032287
u24,2571487,130216,0.9518022521350422
u25,4122791,1297246,0.7606573534461112
u27,5514757,140162,0.9752141454192359
u30,4796554,858315,0.8482166430380615
u31,5192473,230096,0.9575669760956477
u32,5101254,599137,0.8948954554170057
u33,4651347,219938,0.9548501062861237
u34,3775787,957612,0.797690412323153
u35,5479183,201451,0.9645372329919513
u36,5250631,445662,0.9217628025805554
u39,2453734,57717,0.9770184646246334
u41,5444794,133368,0.9760910493456447
u42,4437438,322514,0.9322442747321822
u43,3789143,1652041,0.6963820741956163
u44,5320028,283743,0.9493657039161665
u45,4141077,1250586,0.7680518979023726
u46,4615999,316866,0.9357643073548536
u47,5024549,359196,0.9332813868413159
u49,5032849,620161,0.8902954355290368
u50,4138794,26058,0.9937433551060157
u51,5481870,215079,0.9622466341194208
u52,5285241,359738,0.9362729250188531
u53,5637753,39987,0.9929572329835463
u54,4950169,592716,0.8930672384507345
u56,4493575,1146501,0.7967224200524957
u57,5440522,261864,0.9540781700852942
u58,5403325,74183,0.9864567975071876
u59,5490902,178026,0.9685961790306739
