,year,mon,day,mac_address_num
0,2013,3,28,54
1,2013,3,29,82
2,2013,3,30,98
3,2013,3,31,112
4,2013,4,1,113
5,2013,4,2,151
6,2013,4,3,217
7,2013,4,4,237
8,2013,4,5,254
9,2013,4,6,274
10,2013,4,7,274
11,2013,4,8,274
12,2013,4,9,275
13,2013,4,10,305
14,2013,4,11,314
15,2013,4,12,356
16,2013,4,13,383
17,2013,4,14,383
18,2013,4,15,396
19,2013,4,16,396
20,2013,4,17,429
21,2013,4,18,462
22,2013,4,19,492
23,2013,4,20,498
24,2013,4,21,500
25,2013,4,22,519
26,2013,4,23,525
27,2013,4,24,542
28,2013,4,25,542
29,2013,4,26,554
30,2013,4,27,557
31,2013,4,28,557
32,2013,4,29,566
33,2013,4,30,571
34,2013,5,1,572
35,2013,5,2,580
36,2013,5,3,586
37,2013,5,4,603
38,2013,5,5,603
39,2013,5,6,604
40,2013,5,7,607
41,2013,5,8,622
42,2013,5,9,635
43,2013,5,10,635
44,2013,5,11,647
45,2013,5,12,662
46,2013,5,13,662
47,2013,5,14,662
48,2013,5,15,682
49,2013,5,16,703
50,2013,5,17,705
51,2013,5,18,705
52,2013,5,19,719
53,2013,5,20,719
54,2013,5,21,740
55,2013,5,22,742
56,2013,5,23,744
57,2013,5,24,744
58,2013,5,25,744
59,2013,5,26,745
60,2013,5,27,769
61,2013,5,28,782
62,2013,5,29,794
63,2013,5,30,794
64,2013,5,31,794
