,year,mon,day,conversation_time
0,2013,3,29,10793
1,2013,3,30,18637
2,2013,3,31,17562
3,2013,4,1,5221
4,2013,4,2,10193
5,2013,4,3,11696
6,2013,4,4,8430
7,2013,4,5,1236
8,2013,4,6,5249
9,2013,4,7,8586
10,2013,4,8,15110
11,2013,4,9,6748
12,2013,4,10,4981
13,2013,4,11,16779
14,2013,4,12,6049
15,2013,4,14,1555
16,2013,4,15,12982
17,2013,4,16,7781
18,2013,4,17,8233
19,2013,4,18,12622
20,2013,4,19,4285
21,2013,4,20,11084
22,2013,4,21,13472
23,2013,4,22,5945
24,2013,4,23,10221
25,2013,4,24,9147
26,2013,4,25,14053
27,2013,4,26,12829
28,2013,4,27,1617
29,2013,4,30,492
30,2013,5,12,6777
31,2013,5,13,15061
32,2013,5,14,13404
33,2013,5,15,28590
34,2013,5,16,35509
35,2013,5,17,12365
36,2013,5,18,7018
37,2013,5,19,32392
38,2013,5,20,34054
39,2013,5,21,19691
40,2013,5,22,43476
41,2013,5,23,20740
42,2013,5,24,16969
43,2013,5,25,34862
44,2013,5,26,64745
45,2013,5,27,27738
46,2013,5,28,44699
47,2013,5,29,23033
48,2013,5,30,22504
49,2013,5,31,40948
