,year,mon,day,dark_time
0,2013,3,27,38838
1,2013,3,28,60613
2,2013,3,29,51474
3,2013,3,30,36125
4,2013,3,31,43463
5,2013,4,1,14854
6,2013,4,2,43587
7,2013,4,3,13406
8,2013,4,4,58128
9,2013,4,5,49923
10,2013,4,6,44387
11,2013,4,7,5164
12,2013,4,8,28920
13,2013,4,9,36236
14,2013,4,10,63356
15,2013,4,11,12420
16,2013,4,12,24748
17,2013,4,13,6320
18,2013,4,14,64666
19,2013,4,15,52264
20,2013,4,16,0
21,2013,4,17,57090
22,2013,4,18,56510
23,2013,4,19,52149
24,2013,4,20,26727
25,2013,4,21,52206
26,2013,4,22,37113
27,2013,4,23,4197
28,2013,4,24,5512
29,2013,4,25,58321
30,2013,4,26,62842
31,2013,4,27,3824
32,2013,4,28,25045
33,2013,4,29,75132
34,2013,4,30,4079
35,2013,5,1,57481
36,2013,5,2,31931
37,2013,5,3,59300
38,2013,5,4,8165
39,2013,5,5,38701
40,2013,5,6,8573
41,2013,5,7,60406
42,2013,5,8,58938
43,2013,5,9,0
44,2013,5,10,41343
45,2013,5,11,10771
46,2013,5,12,18993
47,2013,5,13,63489
48,2013,5,14,49064
49,2013,5,15,45440
50,2013,5,16,12231
51,2013,5,17,66031
52,2013,5,18,11647
53,2013,5,19,43039
54,2013,5,20,50859
55,2013,5,21,47814
56,2013,5,22,35348
57,2013,5,23,60708
58,2013,5,24,58524
59,2013,5,25,5294
60,2013,5,26,30743
61,2013,5,27,26078
62,2013,5,28,34322
63,2013,5,29,7865
64,2013,5,30,0
65,2013,5,31,44921
