,year,mon,day,phonecharge_time
0,2013,3,30,0
1,2013,4,1,0
2,2013,4,2,0
3,2013,4,3,0
4,2013,4,5,19149
5,2013,4,6,0
6,2013,4,7,0
7,2013,4,8,0
8,2013,4,9,0
9,2013,4,10,0
10,2013,4,11,0
11,2013,4,12,0
12,2013,4,14,0
13,2013,4,15,0
14,2013,4,16,0
15,2013,4,17,0
16,2013,4,18,0
17,2013,4,20,0
18,2013,4,21,0
19,2013,4,22,0
20,2013,4,23,0
21,2013,4,24,0
22,2013,4,25,0
23,2013,4,26,0
24,2013,4,28,0
25,2013,4,29,15206
26,2013,4,30,0
27,2013,5,1,4522
28,2013,5,3,0
29,2013,5,4,0
30,2013,5,5,31539
31,2013,5,7,0
32,2013,5,8,0
33,2013,5,9,0
34,2013,5,11,7340
35,2013,5,12,19180
36,2013,5,13,0
37,2013,5,15,4284
38,2013,5,16,0
39,2013,5,17,4900
40,2013,5,18,0
41,2013,5,20,0
42,2013,5,21,0
43,2013,5,22,10359
44,2013,5,23,0
45,2013,5,24,0
46,2013,5,25,27622
47,2013,5,27,5496
48,2013,5,28,0
49,2013,5,29,0
