,year,mon,day,phonelock_time
0,2013,3,27,27476
1,2013,3,28,0
2,2013,3,29,29639
3,2013,3,30,0
4,2013,3,31,37296
5,2013,4,1,53015
6,2013,4,2,44093
7,2013,4,3,38520
8,2013,4,4,45218
9,2013,4,5,67411
10,2013,4,6,0
11,2013,4,7,7654
12,2013,4,8,27648
13,2013,4,9,22189
14,2013,4,10,26085
15,2013,4,11,20125
16,2013,4,12,19938
17,2013,4,13,0
18,2013,4,14,0
19,2013,4,15,7607
20,2013,4,16,0
21,2013,4,17,9061
22,2013,4,18,0
23,2013,4,19,22777
24,2013,4,20,0
25,2013,4,21,0
26,2013,4,22,13146
27,2013,4,23,10097
28,2013,4,25,9604
29,2013,4,26,18116
30,2013,4,27,27211
31,2013,4,28,0
32,2013,4,29,7539
33,2013,4,30,5874
34,2013,5,1,4167
35,2013,5,2,27411
36,2013,5,3,30203
37,2013,5,4,5283
38,2013,5,5,11715
39,2013,5,6,11909
40,2013,5,7,23462
41,2013,5,8,11181
42,2013,5,9,23810
43,2013,5,10,0
44,2013,5,15,0
45,2013,5,16,0
46,2013,5,17,19137
47,2013,5,19,0
48,2013,5,20,8515
49,2013,5,21,6629
50,2013,5,22,3976
51,2013,5,23,0
52,2013,5,24,20157
53,2013,5,25,0
54,2013,5,26,7439
55,2013,5,27,7509
56,2013,5,28,17010
57,2013,5,29,0
58,2013,5,30,37043
