uid,pre_score,post_socre,Flourishing_score
u00,48,45,46.5
u01,45,46,45.5
u02,46,44,45
u03,34,31,32.5
u04,27,33,30
u05,48,50,49
u07,49,47,48
u09,46,47,46.5
u10,39,39,39
u14,52,53,52.5
u15,43,48,45.5
u16,42,41,41.5
u17,37,38,37.5
u19,42,42,42
u20,45,45,45
u23,35,42,38.5
u24,41,43,42
u27,31,31,31
u30,52,56,54
u31,16,36,26
u32,54,56,55
u33,31,28,29.5
u34,49,23,36
u35,48,44,46
u36,46,46,46
u42,45,16,30.5
u43,47,42,44.5
u44,48,41,44.5
u45,48,49,48.5
u46,42,44,43
u47,51,52,51.5
u49,51,55,53
u51,40,48,44
u52,34,37,35.5
u53,50,49,49.5
u56,46,48,47
u59,43,50,46.5
