,uid,activity_mean,activity_var,audio_mean,audio_var,bluetooth_sum,bluetooth_var,bluetooth_mean,bluetooth_day_num,conversation_sum,conversation_var,conversation_mean,conversation_day_num,dark_sum,dark_var,dark_mean,dark_day_num,phonecharge_sum,phonecharge_var,phonecharge_mean,phonecharge_day_num,phonelock_sum,phonelock_var,phonelock_mean,phonelock_day_num,in_time_second,near_time_second,in_all_percentage,pre_positive,post_positive,pre_negative,post_negative,pre_positive_label,post_positive_label,pre_negative_label,post_negative_label
0,u00,0.349241315,0.924554596,0.231949735,0.664765939,0.549543532,0.732848061,0.495022043,0.264705882,0.127207501,0.595034975,0.311282588,0.028571429,0.54674796,0.594972289,0.620907826,0.11627907,0.536968752,0.262842322,0.416776596,0.5,0.494529927,0.647317664,0.549495306,0.113636364,0.34879394,0.348725663,0.624394668,32,31,33,24,1,1,1,1
1,u01,0.483002553,0.98010123,0.167804213,0.297013852,0.890670229,0.894641344,0.919892118,0.264705882,0.03160912,0.398812399,0,0.4,0.316286509,0.056493419,0.346917427,0.209302326,0.904674012,0.764735521,0.880553337,0.608695652,0.353764384,0.314931367,0.302448767,0.204545455,0.508330328,0.155152914,0.83813505,30,27,19,17,1,0,1,0
2,u02,0.6419567,0.991142346,0.466649168,0.540161632,0.330215988,0.663490558,0.355197131,0,0.320834506,0.318762241,0.428913003,0.142857143,0.590041761,0.673370003,0.670266194,0.093023256,0.603504178,0.766762567,0.709890719,0.086956522,0.743367002,0.830153586,0.861873637,0.136363636,0.075745875,0.83478302,0.152820834,23,28,15,13,1,1,1,0
3,u03,1,0.997713692,1,1,1,0.959529032,1,0.735294118,1,1,1,0.542857143,0.879110554,0.566417507,0.736449387,0.860465116,0.759469322,0.181564295,0.558806719,0.739130435,0.772199453,0.1102903,0.643576604,0.659090909,0.255011144,0.985731093,0.012731318,30,25,27,20,1,0,1,0
4,u04,0,0.946309934,0,0.83057481,0.489868626,0.673098934,0.420697513,0.264705882,0.127504261,0.915968141,0.193061615,0.257142857,0,0.59896863,0,0.23255814,0.914062447,0.79481375,0.973175309,0.260869565,0.183891527,0.345974292,0.023714719,0.25,0.406916752,0.669608477,0.361375565,27,34,14,19,1,1,1,0
5,u05,0.7756666,0.986500416,0.513225787,0.769666719,0.25428635,0,0.213768825,0.117647059,0.472231429,0.623581165,0.564179621,0.142857143,0.491501193,0.429817884,0.50633229,0.255813953,0.619535643,0.207542978,0.512769947,0.52173913,0.520251183,0,0.472561253,0.295454545,0.164328535,0.802091412,0.192359631,32,33,27,17,1,1,1,0
6,u07,0.610245177,0.960284851,0.516412398,0.041188123,0.822311289,0.803701126,0.775165301,0.5,0.636904209,0.084868279,0.525312774,0.657142857,0.502743348,0.27296649,0.414551229,0.441860465,0.855264936,0.666141833,0.749221217,0.717391304,0.49917062,0.01093897,0.263457021,0.5,0.597336956,0.758129083,0.312693207,30,16,21,17,1,0,1,0
36,u08,0.517925165,0.987256313,0.344619778,0.807094094,0.252282342,0.22690851,0.195273414,0.147058824,0.139546623,0.661129289,0.295152438,0.085714286,0.497578409,0.84376672,0.591020538,0.069767442,0.534757139,0.72506883,0.63802429,0.108695652,0.488146667,0.845238656,0.565742046,0.068181818,0.124378316,0.884825364,0.110120091,30,36.2,26,31.5,1,1,1,1
7,u09,0.586158213,0.987359964,0.313325176,0.76915492,0.548430194,0.535393552,0.505809237,0.235294118,0,0.455064327,0.204622292,0.028571429,0.439480831,0.281598939,0.517237119,0.11627907,0.695974181,0.607955723,0.697405521,0.369565217,0.319057557,0.382686437,0.307551487,0.136363636,0.12027104,0.776014878,0.210862286,28,32,11,12,1,1,0,0
8,u10,0.744309585,0.996814365,0.515538359,0.881322766,0,0.572104983,0,0,0.379307356,0.743625292,0.522661988,0.028571429,0.384210931,0.398280817,0.494972163,0.046511628,0.713484151,0.897265809,0.735661712,0.326086957,0.251884349,0.388509116,0.319019789,0,0.028617543,0.922676313,0.068482175,33,43,20,28,1,1,1,1
37,u12,0.683006164,0.977512111,0.508076263,0.854818082,0.683589401,0.735823586,0.735303568,0,0.300893331,0.736296183,0.467500386,0,0.080369066,0.355011375,0.242748292,0,0.175626658,0,0.271238899,0.152173913,0.148079926,0.815017616,0.195737649,0,0.060342775,0.906222267,0.085580441,42,32.4,18,42.3,1,1,1,1
